unique_id,similarity
DAHMUX,0.994122700800046
AQEQOF,0.9888887145353724
ZEYCEO,0.9883224942213366
BIYRIM,0.9854171959492064
TPHALC10,0.9829615846483204
XUKYEJ,0.9826360700602972
MUKVET,0.9811291009306148
METNAM01,0.9791811161876948
OFIGOA,0.9753159011653332
EBIGUR04,0.974791283337386
QIKNAZ,0.9726716413506922
AKAWOZ,0.972018824652132
TATKAC,0.9718184464863266
LUMLAH,0.9711533998257438
FOCZIH,0.9708197307289114
FOKNIC,0.9705823073422511
YICBAO,0.9704949362961036
MABDEC,0.9703857053496618
HODPIZ,0.9703278285046156
IZUBUC,0.9699029219001416
FOMWIO,0.9688625259278054
TEKWIP,0.968733362465618
MASJAR,0.9684940472684096
GILGAK,0.9684585366843944
PAHQEX,0.9683122841648352
QAMRAX,0.9682044408782864
MEDVAV,0.967979876527332
MARXUY,0.9676654793868444
JAHDUS,0.9671317879894196
VAHVUX,0.9670200495105116
ZEJDOK,0.9669073774380174
MIPREJ,0.9668772801513036
VAMLUT,0.9668624662443628
XASPAI,0.9663698405906584
DHNAPH01,0.9661130013943126
YOHZED,0.9656648171111696
GAVCEM,0.9656468571932098
AJIBEB,0.9655846082526692
GEZCAP,0.9655642075112733
TICJEU,0.9653076224772026
ADUXAZ,0.9650006124715544
JAPWIH,0.9648895917158428
KUSROG,0.9646962524151228
LUCRUZ,0.9644980179996676
WUXDUP,0.9644563548162416
BESWUT,0.964312626982088
MOWYEE,0.9641657306500157
NAPHUJ,0.9639011063249756
UVEKOW,0.9636111773526814
OPUTAW,0.9629941958473992
IBOVAZ,0.9629791877155826
XEBPEB,0.9628782238141989
GIYHUR,0.9627158643198176
AVAFAE,0.9624221443659936
QUPYEG,0.962335235474243
AWEKUJ,0.9622860311663836
ETYNBZ01,0.9621275788552336
ZAGWUC,0.9620434656876824
FOMVAH,0.961714701852362
ZEHNUY,0.9616948207072872
HUKNIN,0.961691176968834
NATDAO,0.9616825065548646
AHEMAB,0.9616673275621164
ALAFIC,0.9616113522056042
XEKNUX,0.9615768314302962
TCPHAZ,0.9614065626906916
YESJUC,0.9613852778528033
ESEPOK,0.9613830721187546
YUNXUC,0.9613710054416106
BEWFIS,0.9613046842098616
DCHXAL01,0.9607683895358936
ROZYOX,0.9606748641039948
BUZPOE,0.9606671820407312
GAFVUG,0.9606309932039492
CUNCEU,0.9604913890878034
MIQXES,0.9603913735179418
OFAZIH,0.96033929666308
TUJNET,0.9599141284522568
PUXNAX,0.9598801142543788
MELRED,0.9595063965977332
SIGBES,0.9593128858731756
DEFQAJ,0.9592953287269456
HIXHEE,0.9592016224458944
VEBWEF,0.9591616505458316
EBEVIS,0.9589222708025644
HUVZOP,0.9589111482014336
YIBKUS,0.9588333766364224
OFEPAR,0.9587802692254158
KOXCIM,0.9587087453305352
JAXHUM,0.95869575593284
